#,pic,Digimon,Stage,Attribute,Memory,Equip Slots,HP,SP,ATK,DEF,INT,SPD
124,,Bakemon,Champion,Dark,6,2,Data,Neutral,22,Vaccine,Light,20
125,,Veedramon,Champion,Wind,8,1,Vaccine,Fire,22,Vaccine,Light,18
126,,Hudiemon,Champion,Plant,8,1,Vaccine,Light,22,Vaccine,Wind,20
127,,PlatinumSukamon,Champion,Neutral,6,2,Vaccine,Light,20,Vaccine,Electric,18
128,,BlackGatomon,Champion,Dark,8,1,Virus,Electric,18,Virus,Electric,18
129,,Vegiemon,Champion,Plant,6,2,Virus,Earth,18,Virus,Plant,20
130,,Peckmon,Champion,Wind,8,1,Data,Water,20,Free,Dark,20
131,,Meramon,Champion,Fire,6,2,Virus,Dark,22,Virus,Light,22
132,,Monochromon,Champion,Earth,6,2,Data,Wind,22,Vaccine,Neutral,20
133,,Frigimon,Champion,Water,6,2,Data,Light,22,Data,Earth,25
134,,Unimon,Champion,Wind,6,2,Data,Dark,18,Vaccine,Water,20
135,,Raptordramon,Champion,Neutral,6,2,Vaccine,Electric,18,Data,Fire,18
136,,Raremon,Champion,Earth,6,2,Virus,Dark,22,Vaccine,Earth,18
137,,Leomon,Champion,Earth,8,1,Virus,Dark,18,Virus,Plant,18
138,,Lekismon,Champion,Water,6,2,Virus,Neutral,16,Virus,Fire,20
139,,Reppamon,Champion,Light,8,1,Data,Neutral,16,Virus,Earth,20
140,,Waspmon,Champion,Electric,6,2,Data,Water,18,Vaccine,Plant,18
141,,MegaKabuterimon,Ultimate,Plant,12,2,Virus,Dark,22,Virus,Dark,25
142,,Arcadiamon Ultimate,Ultimate,Dark,14,3,Virus,Dark,22,Vaccine,Fire,18
143,,Antylamon,Ultimate,Neutral,12,3,Vaccine,Light,20,Data,Electric,18
144,,Andromon,Ultimate,Electric,12,3,Free,Light,18,Free,Light,18
145,,Meteormon,Ultimate,Earth,12,3,Vaccine,Neutral,22,Vaccine,Water,18
146,,Infermon,Ultimate,Dark,14,3,Virus,Neutral,20,Data,Wind,18
147,,Myotismon,Ultimate,Dark,14,3,Data,Light,20,Virus,Electric,18
148,,Wingdramon,Ultimate,Wind,14,3,Virus,Fire,20,Virus,Earth,18
149,,BurningGreymon,Ultimate,Fire,14,3,Data,Water,18,Virus,Electric,18
150,,AeroVeedramon,Ultimate,Wind,14,1,Data,Water,18,Virus,Wind,20
151,,Etemon,Ultimate,Dark,12,3,Virus,Electric,18,Virus,Water,22
152,,Angewomon,Ultimate,Light,14,3,Virus,Dark,22,Vaccine,Wind,18
153,,Okuwamon,Ultimate,Plant,12,3,Vaccine,Wind,20,Virus,Dark,22
154,,Garudamon,Ultimate,Fire,12,3,Data,Plant,18,Data,Plant,20
155,,KendoGarurumon,Ultimate,Light,14,2,Data,Plant,18,Free,Dark,25
156,,Gigadramon,Ultimate,Wind,12,3,Virus,Dark,25,Vaccine,Neutral,25
157,,CatchMamemon,Ultimate,Electric,10,3,Vaccine,Light,25,Data,Wind,25
158,,CannonBeemon,Ultimate,Electric,12,3,Vaccine,Light,25,Vaccine,Dark,25
159,,Groundramon,Ultimate,Earth,14,3,Vaccine,Neutral,25,Vaccine,Light,25
160,,GrapLeomon,Ultimate,Electric,12,3,Vaccine,Light,25,Virus,Light,25
161,,Grademon,Ultimate,Neutral,12,3,Virus,Dark,25,Virus,Dark,25
162,,Crescemon,Ultimate,Water,12,3,Free,Fire,8,Free,Earth,22
163,,Cyberdramon,Ultimate,Dark,14,2,Vaccine,Light,18,Free,Fire,5
164,,Shakkoumon,Ultimate,Light,14,3,Free,Fire,20,Vaccine,Neutral,5
165,,Cherrymon,Ultimate,Plant,12,3,Vaccine,Neutral,8,Vaccine,Neutral,14
166,,Silphymon,Ultimate,Wind,14,3,Vaccine,Neutral,20,Free,Neutral,25
167,,SuperStarmon,Ultimate,Light,12,3,Vaccine,Light,4,Vaccine,Light,18
168,,SkullGreymon,Ultimate,Dark,14,3,Virus,Light,6,Virus,Light,18
169,,SkullSatamon,Ultimate,Dark,12,3,Vaccine,Neutral,6,Virus,Dark,6
170,,Zudomon,Ultimate,Water,12,2,Data,Light,6,Vaccine,Light,6
171,,SaviorHuckmon,Ultimate,Fire,14,3,Virus,Light,6,590,77,79
172,,Taomon,Ultimate,Dark,12,3,69,68,95,950,62,76
173,,Dragomon,Ultimate,Water,12,3,76,69,68,870,50,97
174,,Chirinmon,Ultimate,Light,14,3,87,50,75,690,68,77
175,,Dinobeemon,Ultimate,Plant,14,3,95,76,61,540,98,54
176,,Digitamamon,Ultimate,Neutral,12,3,59,95,86,720,85,86
177,,SkullMeramon,Ultimate,Fire,12,3,59,81,93,940,52,109
178,,Duramon,Ultimate,Neutral,14,3,93,52,76,1030,64,85
179,,ShogunGekomon,Ultimate,Water,12,3,82,73,69,930,54,107
180,,Triceramon,Ultimate,Earth,12,3,92,54,76,930,64,108
181,,DoruGreymon,Ultimate,Fire,14,3,64,54,93,640,86,76
182,,Knightmon,Ultimate,Neutral,12,3,74,74,103,540,107,54
183,,Datamon,Ultimate,Electric,12,3,64,103,94,550,103,60
184,,Paildramon,Ultimate,Neutral,14,3,63,102,93,1040,64,82
185,,Panjyamon,Ultimate,Water,12,3,82,75,69,830,93,54
186,,Pandamon,Ultimate,Earth,12,3,74,103,69,1030,63,82
187,,Pumpkinmon,Ultimate,Earth,10,3,81,78,69,830,82,79
188,,Piximon,Ultimate,Light,12,3,75,75,82,1030,59,131
189,,HippoGryphonmon,Ultimate,Wind,12,3,103,54,86,1020,56,124
190,,Phantomon,Ultimate,Dark,12,3,108,56,85,950,86,105
191,,BlackKingNumemon,Ultimate,Dark,10,3,79,85,86,1160,85,67
192,,BlueMeramon,Ultimate,Fire,12,3,111,65,72,530,114,83
193,,Vademon,Ultimate,Dark,10,3,65,114,102,930,93,82
194,,Whamon,Ultimate,Water,12,2,79,79,90,930,105,52
195,,MagnaAngemon,Ultimate,Light,14,3,75,113,78,1030,69,118
196,,Volcanomon,Ultimate,Fire,12,3,74,66,101,970,71,123
197,,Matadormon,Ultimate,Dark,12,3,64,59,102,980,88,94
198,,MachGaogamon,Ultimate,Wind,12,3,81,79,91,950,83,99
199,,Mamemon,Ultimate,Earth,10,3,89,74,91,1050,69,133
200,,MegaSeadramon,Ultimate,Water,12,3,74,54,101,590,128,53
201,,Megadramon,Ultimate,Wind,12,3,74,117,105,1030,74,123
202,,WarGrowlmon,Ultimate,Fire,14,3,69,61,101,790,79,93
203,,MetalGreymon,Ultimate,Fire,14,2,118,90,72,1050,51,115
204,,MetalGreymon (Blue),Ultimate,Fire,14,2,110,51,84,1160,69,93
205,,MetalTyrannomon,Ultimate,Electric,12,3,93,81,79,870,100,53
206,,MetalMamemon,Ultimate,Electric,10,3,86,112,78,1010,57,126
207,,Monzaemon,Ultimate,Neutral,12,2,111,54,87,1030,88,69
208,,Crowmon,Ultimate,Wind,12,3,108,71,77,700,91,87
209,,RizeGreymon,Ultimate,Fire,14,3,73,85,111,690,93,84
210,,Lilamon,Ultimate,Plant,12,3,75,84,112,750,79,86
211,,Rapidmon,Ultimate,Electric,12,3,110,93,73,1110,87,72
212,,Lillymon,Ultimate,Plant,12,3,112,63,71,870,81,108
213,,Lucemon FM,Ultimate,Neutral,22,2,88,83,84,980,69,132
214,,LadyDevimon,Ultimate,Dark,14,3,89,49,99,1020,65,128
215,,WereGarurumon,Ultimate,Earth,12,3,79,56,101,1090,91,66
216,,WereGarurumon (Blk),Ultimate,Earth,12,3,110,69,71,880,93,79
217,,Wisemon,Ultimate,Dark,12,3,74,92,90,1030,59,118
218,,Arcadiamon Mega,Mega,Dark,20,2,108,63,85,1140,65,103
219,,Alphamon,Mega,Neutral,22,1,90,80,79,650,87,89
220,,UlforceVeedramon,Mega,Wind,22,1,76,89,111,830,93,85
221,,Ebemon,Mega,Electric,16,3,79,85,91,740,93,94
222,,Imperialdramon DM,Mega,Fire,20,2,79,79,113,860,69,104
223,,Imperialdramon FM,Mega,Neutral,20,2,86,73,98,1040,74,130
224,,Vikemon,Mega,Water,18,3,74,53,101,540,118,59
225,,Valkyrimon,Mega,Wind,18,3,69,119,97,870,101,61
226,,Varodurumon,Mega,Light,20,2,76,113,78,690,88,99
227,,VenomMyotismon,Mega,Dark,20,3,79,83,114,1110,64,96
228,,WarGreymon,Mega,Fire,20,2,88,79,78,1040,54,128
229,,Ophanimon,Mega,Light,20,2,100,51,79,1100,74,87
230,,Gaiomon,Mega,Fire,18,3,87,79,79,1230,148,59
231,,KaiserGreymon,Mega,Fire,20,2,104,208,119,890,94,89
232,,ChaosGallantmon,Mega,Dark,22,1,76,101,82,930,93,89
233,,Chaosdramon,Mega,Electric,20,2,74,89,93,790,79,103
234,,Gankoomon,Mega,Fire,22,2,68,103,85,760,76,92
235,,KingEtemon,Mega,Earth,18,3,111,90,71,990,94,140
236,,Kuzuhamon,Mega,Dark,18,3,89,118,92,940,87,108
237,,GranKuwagamon,Mega,Plant,18,3,132,106,84,840,108,109
238,,GranDracmon,Mega,Dark,20,2,89,89,143,1130,88,134
239,,GroundLocomon,Mega,Electric,18,3,93,84,119,1130,98,139
240,,Gryphonmon,Mega,Wind,18,3,84,89,108,1330,98,89
241,,Craniamon,Mega,Earth,22,1,133,79,79,1330,84,118
242,,Kerpymon (Blk),Mega,Dark,20,3,102,94,90,690,138,74
243,,Kerpymon (Good),Mega,Light,20,2,79,143,118,1180,79,143
244,,Goldramon,Mega,Light,20,2,95,69,117,1480,74,109
245,,SaberLeomon,Mega,Wind,18,3,103,89,88,1040,77,126
246,,Sakuyamon,Mega,Light,18,3,100,86,118,1030,118,104
247,,Jesmon,Mega,Neutral,22,2,94,94,118,940,94,128
248,,ShineGreymon,Mega,Light,20,2,89,128,99,1230,64,155
249,,ShineGreymon BM,Mega,Fire,22,2,118,64,97,990,84,108
250,,Justimon,Mega,Light,18,3,138,103,79,1130,83,99
251,,Kentaurosmon,Mega,Light,22,1,168,96,62,740,108,109
252,,Slayerdramon,Mega,Wind,20,2,94,99,138,890,89,108
253,,Seraphimon,Mega,Light,20,2,128,116,81,1280,103,79
254,,MegaGargomon,Mega,Electric,18,3,148,74,79,1030,103,109
255,,Darkdramon,Mega,Electric,18,3,99,89,108,890,108,99
256,,TigerVespamon,Mega,Electric,18,3,94,94,138,890,108,109
257,,Titamon,Mega,Earth,18,3,104,79,133,740,138,59
258,,TyrantKabuterimon,Mega,Plant,20,2,84,138,128,1180,79,143
259,,Dianamon,Mega,Water,20,3,113,69,109,1280,84,153
260,,Diaboromon,Mega,Dark,20,2,79,64,113,1230,74,148
261,,Creepymon,Mega,Dark,22,2,118,64,104,1280,74,153
262,,Gallantmon,Mega,Light,22,1,118,59,99,1030,118,64
263,,Dynasmon,Mega,Wind,22,2,101,133,92,1180,69,153
264,,Durandamon,Mega,Neutral,20,2,113,59,99,1130,123,68
265,,Leopardmon,Mega,Light,22,3,89,128,90,1380,99,104
266,,Leopardmon LM,Mega,Earth,25,3,128,64,78,1230,76,151
267,,Dorugoramon,Mega,Dark,18,2,103,69,109,1230,74,151
268,,Neptunemon,Mega,Water,20,2,99,61,123,1130,124,59
269,,HiAndromon,Mega,Electric,18,3,84,143,88,1430,79,121
270,,PileVolcamon,Mega,Fire,18,2,132,62,74,940,84,131
271,,Barbamon,Mega,Dark,22,2,128,93,81,1180,85,123
272,,BanchoLeomon,Mega,Earth,18,3,91,90,104,1180,113,64
273,,Piedmon,Mega,Dark,18,3,89,141,86,1080,118,64
274,,Puppetmon,Mega,Plant,18,3,99,134,88,1290,79,113
275,,PlatinumNumemon,Mega,Neutral,16,3,105,90,96,1330,89,143
276,,BlackWarGreymon,Mega,Fire,20,2,84,64,118,1430,98,89
277,,PrinceMamemon,Mega,Neutral,16,3,133,69,79,1080,98,104
278,,Breakdramon,Mega,Earth,20,2,109,91,101,1130,84,143
279,,Plesiomon,Mega,Water,18,3,74,74,133,1150,72,151
280,,HerculesKabuterimon,Mega,Plant,18,3,87,68,118,1160,67,148
281,,Beelzemon,Mega,Dark,22,1,126,63,111,1030,123,64
282,,Beelzemon BM,Mega,Dark,25,2,93,148,90,940,84,113
283,,Belphemon SM,Mega,Dark,22,1,141,98,81,1190,96,101
284,,Hououmon,Mega,Fire,18,3,99,97,99,1230,59,148
285,,Magnadramon,Mega,Light,20,2,125,59,97,640,143,69
286,,Boltmon,Mega,Electric,18,3,79,143,123,990,94,133
287,,MagnaGarurumon,Mega,Light,18,3,84,125,97,1140,78,130
288,,MagnaGarurumon (SV),Mega,Light,18,3,91,78,120,1330,84,108
289,,Mastemon,Mega,Neutral,22,1,113,93,90,1180,84,138
290,,MarineAngemon,Mega,Water,18,3,89,69,123,1070,84,108
291,,Minervamon,Mega,Neutral,20,3,133,98,81,1380,99,84
292,,MirageGaogamon,Mega,Wind,18,3,138,69,83,940,113,94
293,,MirageGaogamon BM,Mega,Light,20,3,84,109,128,990,96,116
294,,Machinedramon,Mega,Electric,18,3,117,90,113,590,148,64
295,,Megidramon,Mega,Fire,20,2,74,138,128,1180,84,138
296,,MetalEtemon,Mega,Earth,18,3,113,64,114,980,111,109
297,,MetalGarurumon,Mega,Water,18,3,85,113,115,450,98,84
298,,MetalGarurumon (Blk),Mega,Electric,18,3,999,50,103,690,133,84
299,,MetalSeadramon,Mega,Water,18,3,84,133,118,1380,79,113
300,,Merukimon,Mega,Wind,20,2,106,87,88,790,113,104
301,,RustTyranomon,Mega,Electric,18,3,84,94,148,1130,69,138
302,,Leviamon,Mega,Water,22,1,113,79,99,1030,76,135
303,,Lilithmon,Mega,Dark,22,2,128,77,92,1380,83,103
304,,Ravemon,Mega,Wind,18,3,98,99,90,790,123,84
305,,Ravemon BM,Mega,Wind,20,2,79,128,118,1130,83,131
306,,Crusadermon,Mega,Dark,22,2,101,83,100,1330,83,105
307,,Rosemon,Mega,Plant,18,3,100,88,103,1180,69,143
308,,Rosemon BM,Mega,Plant,20,3,123,71,97,790,113,94
309,,Lotosmon,Mega,Plant,18,3,84,99,143,790,118,94
310,,Armageddemon,Ultra,Dark,25,1,99,99,143,1180,74,133
311,,Arcadiamon Ultra,Ultra,Dark,25,2,99,74,113,1430,115,94
312,,Alphamon Ouryuken,Ultra,Neutral,25,1,163,109,92,1130,120,157
313,,Imperialdramon PM,Ultra,Light,25,2,99,119,138,940,123,124
314,,Examon,Ultra,Wind,25,2,109,114,168,1040,94,133
315,,Omnimon,Ultra,Light,25,2,157,133,95,1090,104,123
316,,Omnimon Zwart,Ultra,Dark,25,2,163,128,89,1330,99,198
317,,Chaosmon,Ultra,Neutral,25,3,89,74,153,1290,113,148
318,,Chaosmon VA,Ultra,Light,25,3,99,148,110,1380,89,163
319,,Susanomon,Ultra,Light,25,1,109,89,158,1260,98,169
320,,Gallantmon CM,Ultra,Light,25,2,131,95,128,1430,94,163
321,,Belphemon RM,Ultra,Dark,25,2,99,94,153,1130,133,104
322,,Lucemon SM,Ultra,Dark,25,2,119,129,133,890,163,69
323,,Flamedramon,Armor,Fire,8,3,94,188,143,1330,74,158
324,,Magnamon,Armor,Earth,22,2,158,74,119,1040,123,124
325,,Rapidmon (Armor),Armor,Light,18,3,109,129,143,1410,105,144
326,,Shoutmon,None,Fire,5,1,128,104,124,1240,94,137
327,,OmniShoutmon,None,Fire,20,2,148,113,100,1420,109,123
328,,Ryudamon,Rookie,Neutral,5,1,134,95,104,990,123,129
329,,Ginryumon,Champion,Neutral,8,1,139,99,143,1430,84,198
330,,Hisyaryumon,Ultimate,Neutral,14,1,143,74,104,1580,89,163
331,,Ouryumon,Mega,Neutral,20,2,99,79,143,1290,97,173
332,,Apocalymon,Ultra,Neutral,25,1,89,100,144,1180,133,124
333,,Sistermon Blanc,Rookie,Light,4,1,103,139,114,1480,81,173
334,,Sistermon B (Awake.),Rookie,Light,18,2,143,79,122,1530,135,84
335,,Sistermon Ciel,Champion,Light,6,2,158,139,92,1630,108,113
336,,Sistermon C (Awake.),Champion,Light,18,2,133,114,100,1040,138,119
337,,Alphamon NX,Mega,Neutral,6,1,119,124,158,1180,128,122
338,,Crusadermon NX,Mega,Dark,6,1,134,109,120,1230,79,203
339,,Leopardmon NX,Mega,Light,6,1,153,69,119,1210,103,141
340,,Omnimon NX,Mega,Light,6,1,101,132,118,1630,84,150
341,,Gallantmon NX,Mega,Light,6,1,128,104,102,1380,94,163
